Surface,BotTrike,SeatBot,SeatHead,RearWheel,FrontWheel
static,"[93199, 99371]",,,,
static,,"[86391, 92580]",,,
static,,,"[77259, 83448]",,
static,,,,"[8565, 14755]",
static,,,,,"[5901, 12090]"
klinkers,"[112867, 167248]",,,,
klinkers,,"[106061, 160443]",,,
klinkers,,,"[96961, 151324]",,
klinkers,,,,"[28266, 82560]",
klinkers,,,,,"[25586, 79967]"
stoeptegels,"[209408, 254440]",,,,
stoeptegels,,"[203023, 248036]",,,
stoeptegels,,,"[193891, 238923]",,
stoeptegels,,,,"[125128, 170144]",
stoeptegels,,,,,"[122530, 167002]"
pave,"[476636, 548354]",,,,
pave,,"[469750, 541970]",,,
pave,,,"[460580, 532781]",,
pave,,,,"[392205, 464436]",
pave,,,,,"[389732, 461595]"
tarmac,"[592129, 618126]",,,,
tarmac,"[631558, 657577]",,,,
tarmac,,"[585764, 611743]",,,
tarmac,,"[624772, 650803]",,,
tarmac,,,"[576159, 602077]",,
tarmac,,,"[615525, 641541]",,
tarmac,,,,"[508228, 534193]",
tarmac,,,,"[547294, 573323]",
tarmac,,,,,"[505389, 531356]"
tarmac,,,,,"[544467, 570496]"
