segment_number,surface,speed,seat,start_time,end_time
0,synchro,0,Melia,1734523358460.36,1734523365313.63
1,static,0,Melia,1734523625811.55,1734523653624.54
2,tarmac,12,Melia,1734523372528.35,1734523433711.21
3,tarmac,25,Melia,1734523489516.27,1734523535438.02
4,shock1,5,Melia,1734523732788.73,1734523753711.09
5,shock,5,Melia,1734523807482.57,1734523825629.79
6,shock,12,Melia,1734523862499.91,1734523873740.02
7,shock,12,Melia,1734523904235.87,1734523920575.84
8,shock,25,Melia,1734524000551.91,1734524010635.16
9,shock,25,Melia,1734524080011.63,1734524087172.52
