frequency_hz,col2,col3,rotation_acceleration_xyz,col5,col6,col7
0.100000000000,62.400000000000,-24.110000000000,62.500000000000,-24.080000000000,31.000000000000,-30.180000000000
0.125000000000,97.200000000000,-20.250000000000,97.500000000000,-20.220000000000,48.300000000000,-26.320000000000
0.160000000000,158.000000000000,-16.030000000000,159.000000000000,-15.980000000000,78.500000000000,-22.110000000000
0.200000000000,243.000000000000,-12.300000000000,245.000000000000,-12.230000000000,120.000000000000,-18.380000000000
0.250000000000,364.000000000000,-8.780000000000,368.000000000000,-8.670000000000,181.000000000000,-14.860000000000
0.315000000000,527.000000000000,-5.560000000000,536.000000000000,-5.410000000000,262.000000000000,-11.650000000000
0.400000000000,708.000000000000,-3.010000000000,723.000000000000,-2.810000000000,351.000000000000,-9.100000000000
0.500000000000,843.000000000000,-1.480000000000,862.000000000000,-1.290000000000,417.000000000000,-7.600000000000
0.630000000000,929.000000000000,-0.640000000000,939.000000000000,-0.550000000000,458.000000000000,-6.780000000000
0.800000000000,972.000000000000,-0.240000000000,941.000000000000,-0.530000000000,478.000000000000,-6.420000000000
1.000000000000,991.000000000000,-0.080000000000,880.000000000000,-1.110000000000,484.000000000000,-6.300000000000
1.250000000000,1000.000000000000,0.000000000000,772.000000000000,-2.250000000000,485.000000000000,-6.280000000000
1.600000000000,1007.000000000000,0.060000000000,632.000000000000,-3.990000000000,483.000000000000,-6.320000000000
2.000000000000,1012.000000000000,0.100000000000,512.000000000000,-5.820000000000,482.000000000000,-6.340000000000
2.500000000000,1017.000000000000,0.150000000000,409.000000000000,-7.770000000000,489.000000000000,-6.220000000000
3.150000000000,1022.000000000000,0.190000000000,323.000000000000,-9.810000000000,524.000000000000,-5.620000000000
4.000000000000,1024.000000000000,0.200000000000,253.000000000000,-11.930000000000,628.000000000000,-4.040000000000
5.000000000000,1013.000000000000,0.110000000000,202.000000000000,-13.910000000000,793.000000000000,-2.010000000000
6.300000000000,974.000000000000,-0.230000000000,160.000000000000,-15.940000000000,946.000000000000,-0.480000000000
8.000000000000,891.000000000000,-1.000000000000,125.000000000000,-18.030000000000,1017.000000000000,0.150000000000
10.000000000000,776.000000000000,-2.200000000000,100.000000000000,-19.980000000000,1030.000000000000,0.260000000000
12.500000000000,647.000000000000,-3.790000000000,80.100000000000,-21.930000000000,1026.000000000000,0.220000000000
16.000000000000,512.000000000000,-5.820000000000,62.500000000000,-24.080000000000,1018.000000000000,0.160000000000
20.000000000000,409.000000000000,-7.770000000000,50.000000000000,-26.020000000000,1012.000000000000,0.100000000000
25.000000000000,325.000000000000,-9.760000000000,39.900000000000,-27.970000000000,1007.000000000000,0.060000000000
31.500000000000,256.000000000000,-11.840000000000,31.600000000000,-30.010000000000,1001.000000000000,0.000000000000
40.000000000000,199.000000000000,-14.020000000000,24.700000000000,-32.150000000000,991.000000000000,-0.080000000000
50.000000000000,156.000000000000,-16.130000000000,19.400000000000,-34.240000000000,972.000000000000,-0.240000000000
63.000000000000,118.000000000000,-18.530000000000,14.800000000000,-36.360000000000,931.000000000000,-0.620000000000
80.000000000000,84.400000000000,-21.470000000000,10.500000000000,-39.550000000000,843.000000000000,-1.480000000000
100.000000000000,56.700000000000,-24.940000000000,7.070000000000,-43.010000000000,708.000000000000,-3.010000000000
125.000000000000,34.500000000000,-29.240000000000,4.310000000000,-47.310000000000,539.000000000000,-5.360000000000
160.000000000000,18.200000000000,-34.800000000000,2.270000000000,-52.830000000000,364.000000000000,-8.780000000000
200.000000000000,9.710000000000,-40.260000000000,1.210000000000,-58.330000000000,243.000000000000,-12.300000000000
250.000000000000,5.060000000000,-45.920000000000,0.630000000000,-63.990000000000,158.000000000000,-16.030000000000
315.000000000000,2.550000000000,-51.880000000000,0.320000000000,-69.940000000000,100.000000000000,-19.980000000000
400.000000000000,1.250000000000,-58.080000000000,0.160000000000,-76.140000000000,62.400000000000,-24.100000000000
